game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season,num_game,a_fgm,a_fga,a_fg_pct,a_fg3m,a_fg3a,a_fg3_pct,a_ftm,a_fta,a_ft_pct,a_oreb,a_dreb,a_reb,a_ast,a_stl,a_blk,a_tov,a_pf,a_pts,a_num_game,spread
21600548,2017-01-06,NYK @ MIL,1610612749,t,L,18,17,0.514,240,39,78,0.5,12,22,0.545,21,28,1,6,29,35,24,9,11,14,19,111,1610612752,2016,Regular Season,2016-17,35,41,83,0.494,13,23,0.565,21,27,1,11,29,40,29,5,6,14,21,116,36,5.25
21600992,2017-03-13,DAL @ TOR,1610612761,t,W,39,28,0.582,240,37,78,0.474,9,25,0.36,17,18,1,9,46,55,19,7,6,12,16,100,1610612742,2016,Regular Season,2016-17,67,31,85,0.365,7,25,0.28,9,13,1,7,27,34,21,4,6,7,19,78,66,4.75
21600711,2017-01-29,NYK @ ATL,1610612737,t,W,28,20,0.583,340,52,119,0.437,10,31,0.323,28,40,1,17,47,64,36,4,2,14,24,142,1610612752,2016,Regular Season,2016-17,48,51,128,0.398,18,51,0.353,19,23,1,15,48,63,32,9,11,12,39,139,49,6.25
21600639,2017-01-19,DEN @ SAS,1610612759,t,W,33,9,0.786,240,44,86,0.512,9,22,0.409,21,25,1,6,37,43,28,12,5,7,19,118,1610612743,2016,Regular Season,2016-17,42,37,91,0.407,10,31,0.323,20,26,1,11,32,43,27,5,7,15,19,104,41,13
21600237,2016-11-25,NOP @ POR,1610612757,t,W,9,9,0.5,240,47,100,0.47,12,32,0.375,13,17,1,12,40,52,30,7,5,11,20,119,1610612740,2016,Regular Season,2016-17,18,36,76,0.474,13,23,0.565,19,29,1,2,32,34,20,3,8,14,14,104,17,4
21600559,2017-01-08,DET @ POR,1610612757,t,L,16,23,0.41,290,51,98,0.52,15,35,0.429,7,12,1,7,35,42,36,5,5,16,11,124,1610612765,2016,Regular Season,2016-17,39,54,105,0.514,8,25,0.32,9,12,1,6,35,41,19,14,3,9,16,125,39,3.75
21600765,2017-02-05,TOR @ BKN,1610612751,t,L,9,42,0.176,240,32,76,0.421,13,34,0.382,18,21,1,7,35,42,19,8,7,21,19,95,1610612761,2016,Regular Season,2016-17,51,40,87,0.46,5,19,0.263,18,20,1,8,37,45,21,8,4,11,18,103,52,-6.75
21600244,2016-11-26,MIN @ GSW,1610612744,t,W,15,2,0.882,240,45,81,0.556,11,22,0.5,14,17,1,12,33,45,25,9,8,18,14,115,1610612750,2016,Regular Season,2016-17,17,41,89,0.461,10,35,0.286,10,12,1,8,24,32,22,8,3,13,15,102,16,13.25
21600063,2016-11-02,POR @ PHX,1610612756,t,W,1,4,0.2,265,44,103,0.427,5,16,0.313,25,30,1,14,45,59,15,10,5,12,20,118,1610612757,2016,Regular Season,2016-17,5,42,101,0.416,12,33,0.364,19,21,1,10,43,53,25,8,8,14,23,115,5,-2.75
21600224,2016-11-23,OKC @ SAC,1610612758,t,W,6,9,0.4,240,44,94,0.468,12,28,0.429,16,17,1,11,35,46,26,4,1,11,23,116,1610612760,2016,Regular Season,2016-17,15,32,76,0.421,7,25,0.28,30,38,1,5,33,38,18,7,7,9,21,101,16,2
21600793,2017-02-08,BOS @ SAC,1610612758,t,W,21,32,0.396,240,42,84,0.5,10,25,0.4,14,15,1,4,36,40,24,11,1,14,18,108,1610612738,2016,Regular Season,2016-17,53,29,73,0.397,10,32,0.313,24,27,1,7,32,39,18,8,2,17,19,92,52,-9
21600388,2016-12-15,NYK @ GSW,1610612744,t,W,23,4,0.852,240,45,96,0.469,9,32,0.281,4,8,0,15,42,57,41,7,10,17,17,103,1610612752,2016,Regular Season,2016-17,27,38,93,0.409,5,21,0.238,9,19,0,14,35,49,19,10,5,11,10,90,26,17.25
21600058,2016-11-02,HOU @ NYK,1610612752,t,L,1,3,0.25,240,37,85,0.435,8,20,0.4,17,25,1,7,27,34,18,10,6,16,22,99,1610612745,2016,Regular Season,2016-17,4,42,89,0.472,15,40,0.375,19,27,1,19,35,54,25,12,8,19,21,118,5,0.5
21600890,2017-02-28,POR @ DET,1610612765,t,W,29,31,0.483,265,45,104,0.433,7,25,0.28,23,31,1,16,32,48,23,13,2,7,19,120,1610612757,2016,Regular Season,2016-17,60,44,84,0.524,10,25,0.4,15,22,1,8,42,50,25,5,5,24,25,113,59,4.25
21600055,2016-11-02,TOR @ WAS,1610612764,t,L,0,3,0,240,42,72,0.583,3,10,0.3,16,24,1,6,30,36,21,8,5,20,20,103,1610612761,2016,Regular Season,2016-17,3,43,77,0.558,10,25,0.4,17,25,1,4,27,31,21,16,2,13,24,113,4,0.25
